identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000001820,1811DL,12,61,woonfunctie,Verblijfsobject in gebruik,0361100000105111
0361010000003711,1825PX,24,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005245,1827DC,21,75,woonfunctie,Verblijfsobject in gebruik,0361100000041805
0361010000003202,1831AC,19,103,woonfunctie,Verblijfsobject in gebruik,0361100000047980
0361010000004237,1827JV,72,108,woonfunctie,Verblijfsobject in gebruik,0361100000046990
0361010000004788,1824EW,118,137,woonfunctie,Verblijfsobject in gebruik,0361100000102758
0361010000002348,1817HL,74,131,woonfunctie,Verblijfsobject in gebruik,0361100000102641
0361010000005693,1829XH,52,124,woonfunctie,Verblijfsobject in gebruik,0361100000010689
0361010000005246,1827DD,22,80,woonfunctie,Verblijfsobject in gebruik,0361100000042182
0361010000001821,1811DL,13,157,woonfunctie,Verblijfsobject in gebruik,0361100000105121
0361010000003203,1831AB,20,121,woonfunctie,Verblijfsobject in gebruik,0361100000047872
0361010000002349,1817HL,76,131,woonfunctie,Verblijfsobject in gebruik,0361100000027736
